SnapshotAsOfET,DataBarDate,SnapshotSchemaVersion,ScanSession,ScanAfterOpen,SnapshotTimingSource,Ticker,SignalEngineVersion,TradePlanVersion,PlanMeasurementVersion,ConfigHash,UniverseVersion,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,OrderType,PlanSelectedLeg,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason,PriorityPreTheme,PriorityPostTheme,ThemeScore,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,PreGapPct,PreGapStatus,MarketBias,VixLevel,SpyGapPct,QqqGapPct,BreadthPct,SmallCapWeak,V13MeasurementVersion,V13MeasurementStatus,V13Filled,V13FillDate,V13FillPrice,V13ExitDate,V13ExitPrice,V13ExitReason,V13Ambiguous,V13RLower,V13RUpper,V13MarkR,V13MFER,V13MAER,D20TotalReturnPct,D40TotalReturnPct,D60TotalReturnPct,V13DividendsPerInitialShare,V13EndingSplitFactor,V13BarsObserved,V13EntryWindowComplete,V13EntryWindowEndDate,V13LifecycleEndDate,V13MeasurementReason
2026-07-27T09:01:46.597631-04:00,2026-07-23,v1.3.1,premarket,0.0,xnys,SHOP,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,113.63,,buy_stop_reclaim,consolidation_dip,ma60,113.63,113.63,113.63,116.65,104.56,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim,12.0,15.0,3.0,0.0,0.0,4.83,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,open,1,2026-07-27,118.195,,,,0,,,1.9725,2.9831,-0.2145,18.06,,,0.0,1.0,30,1,2026-07-31,,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,WDAY,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,131.44,,buy_limit_zone,consolidation_dip,ma60,131.44,135.42,131.44,135.42,119.49,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,11.0,14.0,3.0,0.0,0.0,9.52,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,34.98,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ABNB,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,139.39,,buy_limit_zone,consolidation_dip,ma60,139.39,141.49,139.39,141.49,133.09,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,11.0,14.0,3.0,0.0,0.0,3.95,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,29.52,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-23,v1.3.1,premarket,0.0,xnys,BKNG,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,170.0,,buy_limit_zone,consolidation_dip,ma60,170.0,172.96,170.0,172.96,161.11,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,11.0,14.0,3.0,0.0,0.0,4.39,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,14.22,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,KDP,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,30.32,,buy_stop_reclaim,consolidation_dip,ma60,30.32,30.32,30.32,30.76,29.01,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim,10.0,13.0,3.0,0.0,0.0,0.78,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,completed,1,2026-07-28,30.83,2026-08-10,29.01,initial_stop,0,-1.0,-1.0,,1.2692,-1.0714,7.93,,,0.0,1.0,30,1,2026-07-31,2026-08-10,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,XEL,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,79.43,,buy_limit_zone,consolidation_dip,ma60,79.43,80.66,79.43,80.66,75.75,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,10.0,13.0,3.0,0.0,0.0,1.58,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,completed,1,2026-07-27,80.66,2026-08-31,75.61,gap_through_stop,0,-1.0285,-1.0285,,0.389,-1.1405,-4.19,,,0.0,1.0,30,1,2026-07-31,2026-08-31,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,INSM,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,108.95,,buy_stop_reclaim,consolidation_dip,ma60,108.95,108.95,108.95,110.98,102.87,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim,13.0,13.0,0.0,0.0,0.0,-0.28,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,18.38,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,WDC,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,542.63,,buy_stop_reclaim,consolidation_dip,ma60,542.63,542.63,542.63,567.53,467.92,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim,12.0,12.0,0.0,0.0,0.0,-4.3,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,completed,1,2026-07-30,542.63,2026-08-06,428.89,gap_through_stop,0,-1.5224,-1.5224,,0.5002,-1.809,-12.56,,,0.0,1.0,30,1,2026-07-31,2026-08-06,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,DXCM,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,69.76,,buy_limit_zone,consolidation_dip,ma60,69.76,71.1,69.76,71.1,65.75,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,11.0,11.0,0.0,0.0,0.0,1.87,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,24.11,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,ZS,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,143.22,,buy_stop_reclaim,consolidation_dip,ma60,143.22,143.22,143.22,146.98,131.94,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim,11.0,11.0,0.0,0.0,0.0,4.08,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,open,1,2026-07-27,145.9,,,,0,,,1.712,3.2285,-0.2256,19.52,,,0.0,1.0,30,1,2026-07-31,,
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,DASH,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma60,170.25,,buy_limit_zone,healthy_pullback,ma60,170.25,174.29,170.25,174.29,158.12,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma60_anchor,7.0,10.0,3.0,0.0,0.0,3.86,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,24.24,,,0.0,1.0,30,1,2026-07-29,2026-07-29,entry_not_reached
2026-07-27T09:01:46.597631-04:00,2026-07-24,v1.3.1,premarket,0.0,xnys,TRI,v1.2.0,v1.3.1-shadow,v1.3.1-shadow,c62717051b17ab85,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,86.78,,buy_limit_zone,consolidation_dip,ma60,86.78,88.96,86.78,88.96,80.23,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone,10.0,10.0,0.0,0.0,0.0,6.03,available,bull,17.729999542236328,0.98,0.31,0.3434,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,11.78,,,0.0,1.0,30,1,2026-07-31,2026-07-31,entry_not_reached
