EpisodeId,EpisodeStartDate,EpisodeEndDate,EpisodeStatus,EpisodeSignalCount,EpisodeDuplicateSignals,EpisodeLastSignalDate,EpisodeObservedLegs,EpisodeObservedOrderTypes,EpisodeIsActive,SnapshotAsOfET,DataBarDate,SnapshotSchemaVersion,ScanSession,ScanAfterOpen,SnapshotTimingSource,Ticker,SignalEngineVersion,TradePlanVersion,PlanMeasurementVersion,ConfigHash,UniverseVersion,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,OrderType,PlanSelectedLeg,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason,PriorityPreTheme,PriorityPostTheme,ThemeScore,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,PreGapPct,PreGapStatus,MarketBias,VixLevel,SpyGapPct,QqqGapPct,BreadthPct,SmallCapWeak,V13MeasurementVersion,V13MeasurementStatus,V13Filled,V13FillDate,V13FillPrice,V13ExitDate,V13ExitPrice,V13ExitReason,V13Ambiguous,V13RLower,V13RUpper,V13MarkR,V13MFER,V13MAER,D20TotalReturnPct,D40TotalReturnPct,D60TotalReturnPct,V13DividendsPerInitialShare,V13EndingSplitFactor,V13BarsObserved,V13EntryWindowComplete,V13EntryWindowEndDate,V13LifecycleEndDate,V13MeasurementReason
ep-dc3e1e0136ec17c5,2026-07-28,2026-07-30,unfilled,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,ABNB,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,145.55,,buy_limit_zone,healthy_pullback,ma20,145.55,147.71,145.55,147.71,139.08,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,-0.25,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,4,1,2026-07-30,2026-07-30,entry_not_reached
ep-2556079f98f39001,2026-07-28,2026-07-30,unfilled,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,ADBE,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma60,231.5,,buy_limit_zone,healthy_pullback,ma60,231.5,236.76,231.5,236.76,215.71,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma60_anchor,6.0,9.0,3.0,1.0,0.0,2.38,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,4,1,2026-07-30,2026-07-30,entry_not_reached
ep-92c0e109dc2c9981,2026-07-28,2026-07-30,unfilled,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,ADSK,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma60,220.33,,buy_limit_zone,healthy_pullback,ma60,220.33,224.58,220.33,224.58,207.59,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma60_anchor,6.0,9.0,3.0,1.0,0.0,2.7,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,4,1,2026-07-30,2026-07-30,entry_not_reached
ep-4be30ffebeb09100,2026-07-28,,open,1,0,2026-07-28,consolidation_dip,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,AEP,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,131.65,,buy_limit_zone,consolidation_dip,ma60,131.65,133.65,131.65,133.65,125.64,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_inside_ma60_zone,11.0,14.0,3.0,0.0,0.0,0.01,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,133.65,,,,0,,,-0.7241,0.2921,-0.8514,,,,0.0,1.0,4,0,,,
ep-17e7218d89f17e86,2026-07-28,,open,2,1,2026-07-31,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,AVGO,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,382.31,,buy_limit_zone,healthy_pullback,ma20,382.31,389.93,382.31,389.93,359.46,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,7.0,7.0,0.0,0.0,0.0,-1.88,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,374.36,,,,0,,,1.0013,1.7154,-0.3255,,,,0.0,1.0,4,1,2026-07-30,,
ep-61ab30faf2de42f5,2026-07-28,2026-07-30,unfilled,2,1,2026-07-30,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,COST,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,933.4,,buy_limit_zone,healthy_pullback,ma20,933.4,947.67,933.4,947.67,890.58,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,1.96,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,4,1,2026-07-30,2026-07-30,entry_not_reached
ep-dec692adf8c4653e,2026-07-28,2026-07-30,unfilled,3,2,2026-07-30,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,CPRT,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,28.15,,buy_limit_zone,healthy_pullback,ma20,28.15,28.63,28.15,28.63,26.7,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,5.0,5.0,0.0,0.0,0.0,1.37,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,4,1,2026-07-30,2026-07-30,entry_not_reached
ep-5a94bf82baa85ea1,2026-07-28,,open,2,1,2026-07-29,consolidation_dip|healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,CSCO,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,113.76,,buy_limit_zone,consolidation_dip,ma60,113.76,115.49,113.76,115.49,108.57,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_inside_ma60_zone,11.0,11.0,0.0,0.0,0.0,-0.17,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,114.13,,,,0,,,0.3345,0.5665,-0.4442,,,,0.0,1.0,4,0,,,
ep-849eb8fd52682bde,2026-07-28,,open,2,1,2026-07-30,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,DXCM,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,73.03,,buy_limit_zone,healthy_pullback,ma20,73.03,74.41,73.03,74.41,68.89,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,6.0,0.0,0.0,0.0,1.88,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,74.41,,,,0,,,1.6377,1.8641,-0.212,,,,0.0,1.0,4,1,2026-07-30,,
ep-2110fb0cd5f7fd04,2026-07-28,,open,2,1,2026-07-30,consolidation_dip,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,FANG,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,193.44,,buy_limit_zone,consolidation_dip,ma60,193.44,196.42,193.44,196.42,184.49,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_inside_ma60_zone,10.0,10.0,0.0,0.0,0.0,0.64,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,196.42,,,,0,,,0.5474,0.6178,-0.5339,,,,0.0,1.0,4,0,,,
